MAL_ID,Name,Score,Genres,sypnopsis
1,The Hunger Games,8.68,"Ficción, Narrativa contemporánea",Obra real de Suzanne Collins. Recomendada para lectores que buscan una lectura con interés literario y capacidad para generar conversación.
2,Harry Potter and the Philosopher's Stone,8.88,"Narrativa, Literatura popular","Libro real de J.K. Rowling, Mary GrandPré, adecuado para ampliar una biblioteca personal con narrativa reconocida y muy leída."
3,Twilight,7.14,"Crimen, Misterio, Suspense","Título real de Stephenie Meyer. Una recomendación útil para lectores que quieren combinar entretenimiento, calidad literaria y valor cultural."
4,To Kill a Mockingbird,8.5,"Terror, Suspense, Drama",Obra de Harper Lee incluida como recomendación por su presencia en catálogos y listas de lectura ampliamente difundidas.
5,The Great Gatsby,7.78,"Misterio, Intriga, Investigación",Libro real firmado por F. Scott Fitzgerald. Recomendable para quienes desean explorar autores conocidos y obras con recorrido lector.
6,The Fault in Our Stars,8.52,"Fantasía, Aventura, Imaginación",Obra real de John Green. Recomendada para lectores que buscan una lectura con interés literario y capacidad para generar conversación.
7,The Hobbit or There and Back Again,8.5,"Ficción, Narrativa contemporánea","Libro real de J.R.R. Tolkien, adecuado para ampliar una biblioteca personal con narrativa reconocida y muy leída."
8,The Catcher in the Rye,7.58,"Ciencia ficción, Distopía, Especulación","Título real de J.D. Salinger. Una recomendación útil para lectores que quieren combinar entretenimiento, calidad literaria y valor cultural."
9,Angels & Demons,7.7,"Memoria, Biografía, Testimonio",Obra de Dan Brown incluida como recomendación por su presencia en catálogos y listas de lectura ampliamente difundidas.
10,Pride and Prejudice,8.48,"Clásico, Ensayo, Cultura general",Libro real firmado por Jane Austen. Recomendable para quienes desean explorar autores conocidos y obras con recorrido lector.
11,The Kite Runner,8.52,"Narrativa, Literatura popular",Obra real de Khaled Hosseini. Recomendada para lectores que buscan una lectura con interés literario y capacidad para generar conversación.
12,Divergent,8.48,"Memoria, Biografía, Testimonio","Libro real de Veronica Roth, adecuado para ampliar una biblioteca personal con narrativa reconocida y muy leída."
13,Nineteen Eighty-Four,8.28,"Terror, Suspense, Drama","Título real de George Orwell, Erich Fromm, CelÃ¢l Ãœster. Una recomendación útil para lectores que quieren combinar entretenimiento, calidad literaria y valor cultural."
14,Animal Farm: A Fairy Story,7.74,"Narrativa, Literatura popular",Obra de George Orwell incluida como recomendación por su presencia en catálogos y listas de lectura ampliamente difundidas.
15,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,8.2,"Misterio, Intriga, Investigación","Libro real firmado por Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday. Recomendable para quienes desean explorar autores conocidos y obras con recorrido lector."
16,Män som hatar kvinnor,8.22,"Ficción, Narrativa contemporánea","Obra real de Stieg Larsson, Reg Keeland. Recomendada para lectores que buscan una lectura con interés literario y capacidad para generar conversación."
17,Catching Fire,8.6,"Narrativa, Literatura popular","Libro real de Suzanne Collins, adecuado para ampliar una biblioteca personal con narrativa reconocida y muy leída."
18,Harry Potter and the Prisoner of Azkaban,9.06,"Narrativa, Ficción de género","Título real de J.K. Rowling, Mary GrandPré, Rufus Beck. Una recomendación útil para lectores que quieren combinar entretenimiento, calidad literaria y valor cultural."
19,The Fellowship of the Ring,8.68,"Ficción, Narrativa contemporánea",Obra de J.R.R. Tolkien incluida como recomendación por su presencia en catálogos y listas de lectura ampliamente difundidas.
20,Mockingjay,8.06,"Narrativa, Literatura popular",Libro real firmado por Suzanne Collins. Recomendable para quienes desean explorar autores conocidos y obras con recorrido lector.
21,Harry Potter and the Order of the Phoenix,8.92,"Crimen, Misterio, Suspense","Obra real de J.K. Rowling, Mary GrandPré. Recomendada para lectores que buscan una lectura con interés literario y capacidad para generar conversación."
22,The Lovely Bones,7.54,"Terror, Suspense, Drama","Libro real de Alice Sebold, adecuado para ampliar una biblioteca personal con narrativa reconocida y muy leída."
23,Harry Potter and the Chamber of Secrets,8.74,"Misterio, Intriga, Investigación","Título real de J.K. Rowling, Mary GrandPré. Una recomendación útil para lectores que quieren combinar entretenimiento, calidad literaria y valor cultural."
24,Harry Potter and the Goblet of Fire,9.06,"Fantasía, Aventura, Imaginación","Obra de J.K. Rowling, Mary GrandPré incluida como recomendación por su presencia en catálogos y listas de lectura ampliamente difundidas."
25,Harry Potter and the Deathly Hallows,9.22,"Ficción, Narrativa contemporánea","Libro real firmado por J.K. Rowling, Mary GrandPré. Recomendable para quienes desean explorar autores conocidos y obras con recorrido lector."
26,The Da Vinci Code,7.58,"Ciencia ficción, Distopía, Especulación",Obra real de Dan Brown. Recomendada para lectores que buscan una lectura con interés literario y capacidad para generar conversación.
27,Harry Potter and the Half-Blood Prince,9.08,"Memoria, Biografía, Testimonio","Libro real de J.K. Rowling, Mary GrandPré, adecuado para ampliar una biblioteca personal con narrativa reconocida y muy leída."
28,Lord of the Flies,7.28,"Clásico, Ensayo, Cultura general","Título real de William Golding. Una recomendación útil para lectores que quieren combinar entretenimiento, calidad literaria y valor cultural."
29,An Excellent conceited Tragedie of Romeo and Juliet,7.46,"Ficción, Narrativa contemporánea","Obra de William Shakespeare, Robert Jackson incluida como recomendación por su presencia en catálogos y listas de lectura ampliamente difundidas."
30,Gone Girl,8.06,"Narrativa, Literatura popular",Libro real firmado por Gillian Flynn. Recomendable para quienes desean explorar autores conocidos y obras con recorrido lector.
31,The Help,8.9,"Crimen, Misterio, Suspense",Obra real de Kathryn Stockett. Recomendada para lectores que buscan una lectura con interés literario y capacidad para generar conversación.
32,Of Mice and Men,7.68,"Terror, Suspense, Drama","Libro real de John Steinbeck, adecuado para ampliar una biblioteca personal con narrativa reconocida y muy leída."
33,Memoirs of a Geisha,8.16,"Misterio, Intriga, Investigación","Título real de Arthur Golden. Una recomendación útil para lectores que quieren combinar entretenimiento, calidad literaria y valor cultural."
34,Fifty Shades of Grey,7.34,"Fantasía, Aventura, Imaginación",Obra de E.L. James incluida como recomendación por su presencia en catálogos y listas de lectura ampliamente difundidas.
35,O Alquimista,7.64,"Ficción, Narrativa contemporánea","Libro real firmado por Paulo Coelho, Alan R. Clarke. Recomendable para quienes desean explorar autores conocidos y obras con recorrido lector."
36,The Giver,8.24,"Ciencia ficción, Distopía, Especulación",Obra real de Lois Lowry. Recomendada para lectores que buscan una lectura con interés literario y capacidad para generar conversación.
37,"The Lion, the Witch and the Wardrobe",8.38,"Memoria, Biografía, Testimonio","Libro real de C.S. Lewis, adecuado para ampliar una biblioteca personal con narrativa reconocida y muy leída."
38,The Time Traveler's Wife,7.9,"Clásico, Ensayo, Cultura general","Título real de Audrey Niffenegger. Una recomendación útil para lectores que quieren combinar entretenimiento, calidad literaria y valor cultural."
